Clover ID,Name,Price,Price Type,Price Unit,Tax Rates,Cost,Product Code,SKU,Modifier Groups,Quantity,Labels,Hidden,Non-revenue item
4QQFA84JHT4W6,Mega Banknote,4.95,Fixed,,DEFAULT,0,,86232312425,,2,,No,No
RVZ4X2A0ZWG46,Milk Chocolate Cool Llamas,2.95,Fixed,,DEFAULT,0,,86232339675,,14,,No,No
FRPMH3Q16BEA0,Milk Chocolate Unicorns,2.95,Fixed,,DEFAULT,0,,86232359796,,19,,No,No
EY9MXT0F08VAJ,Milk Chocolate Music Note,2.99,Fixed,,DEFAULT,0,,7.20E+11,,33,,No,No
K1H6PDMD1W0FY,Dubble Bubble Assortment,10.95,Fixed,,DEFAULT,0,,59642917030,,1,,No,No
06NF1S6TM4Y5T,Tootsie Childs Play/3.5lbs,10.95,Fixed,,DEFAULT,0,,71720018132,,2,,No,No
AMGHS24RCCC6C,Miniature Tootsie Pops,10.95,Fixed,,DEFAULT,0,,71720007211,,1,,No,No
2FM3BS0K89KS6,Charleston Chew/120ct,9.95,Fixed,,DEFAULT,0,,71720531082,,5,,No,No
JSQNZ7N9HEM9R,Bubble Gum Baseball Bat,2.99,Fixed,,DEFAULT,0,,59642917665,,3,,No,No
3AH6E3HWHXKD2,Salt Water Taffy/14oz,7.95,Fixed,,DEFAULT,0,,8.93E+11,,8,,No,No
545B65YHDBBGJ,Fluffy Stuff Cotton Candy,1.99,Fixed,,DEFAULT,0,,14200003259,,7,,No,No
JS51EME2ZYGJJ,Efrutti Lunch Bag,1.99,Fixed,,DEFAULT,0,,8.14E+11,,18,,No,No
JVZT0S6XP6TYJ,Efrutti Movie Bag,1.99,Fixed,,DEFAULT,0,,8.14E+11,,24,,No,No
