"name","clName","price","SKU","bcSKU","category","description","price_type","cost","tax_rates","quantity","clover_ID",
"Fancy Cashews [Weight=16 OZ, Flavor=Raw]",,"14.95","503-16-RA","503-16-RA","Nuts & Fruit;Nuts & Fruit/Nuts",,"Fixed",,"DEFAULT",,,
"Sweet Nut Mix",,"5.95","504-5097","504-5097","Nuts & Fruit;Nuts & Fruit/Mixes",,"Fixed",,"DEFAULT",,,
"Redskin Peanuts [Flavor=Salted]",,"2.69","505-SA","505-SA","Nuts & Fruit;Nuts & Fruit/Nuts",,"Fixed",,"DEFAULT",,,
"Redskin Peanuts [Flavor=Un-Salted]",,"2.69","505-UN","505-UN","Nuts & Fruit;Nuts & Fruit/Nuts",,"Fixed",,"DEFAULT",,,
"Mixed Nuts without Peanuts [Flavor=Salted]",,"14.95","506-SA","506-SA","Nuts & Fruit;Nuts & Fruit/Nuts;Nuts & Fruit/Mixes",,"Fixed",,"DEFAULT",,,
"Mixed Nuts without Peanuts [Flavor=Un-Salted]",,"14.95","506-UN","506-UN","Nuts & Fruit;Nuts & Fruit/Nuts;Nuts & Fruit/Mixes",,"Fixed",,"DEFAULT",,,
"Spanish Peanuts [Flavor=Salted]",,"3.69","507-SA","507-SA","Nuts & Fruit;Nuts & Fruit/Nuts",,"Fixed",,"DEFAULT",,,
"Spanish Peanuts [Flavor=Un-Salted]",,"3.69","507-UN","507-UN","Nuts & Fruit;Nuts & Fruit/Nuts",,"Fixed",,"DEFAULT",,,
"Roasted Pecans [Flavor=Salted]",,"8.99","508-SA","508-SA","Nuts & Fruit;Nuts & Fruit/Nuts",,"Fixed",,"DEFAULT",,,
"Roasted Pecans [Flavor=Un-Salted]",,"8.99","508-UN","508-UN","Nuts & Fruit;Nuts & Fruit/Nuts",,"Fixed",,"DEFAULT",,,
"Whole Almonds [Flavor=Salted]",,"7.95","509-SA","509-SA","Nuts & Fruit;Nuts & Fruit/Nuts",,"Fixed",,"DEFAULT",,,
"Whole Almonds [Flavor=Un-Salted]",,"7.95","509-UN","509-UN","Nuts & Fruit;Nuts & Fruit/Nuts",,"Fixed",,"DEFAULT",,,
"Cashew Splits [Flavor=Salted]",,"5.99","510-SA","510-SA","Nuts & Fruit;Nuts & Fruit/Nuts",,"Fixed",,"DEFAULT",,,
"Cashew Splits [Flavor=Un-Salted]",,"5.99","510-UN","510-UN","Nuts & Fruit;Nuts & Fruit/Nuts",,"Fixed",,"DEFAULT",,,
"Milk Chocolate Sea Shells",,"5.95","512-6009","512-6009","Chocolate",,"Fixed",,"DEFAULT",,,
"Rocks & Boulders Bridge  Mix",,"6.95","514-7480","514-7480","Chocolate",,"Fixed",,"DEFAULT",,,
"Milk Chocolate Pennies By Madelaine",,"7.96","517-4869","517-4869","Chocolate",,"Fixed",,"DEFAULT",,,
"Milk Chocolate Pirates Loot",,"6.95","518-7705","518-7705","Chocolate",,"Fixed",,"DEFAULT",,,
"Milk Chocolate Balls By Madelaine [Type=Footballs]",,"6.95","519-FO","519-FO","Chocolate",,"Fixed",,"DEFAULT",,,
"Milk Chocolate Balls By Madelaine [Type=Basketballs]",,"6.95","519-BA-1","519-BA-1","Chocolate",,"Fixed",,"DEFAULT",,,
"Milk Chocolate Balls By Madelaine [Type=Soccer Balls]",,"6.95","519-SO","519-SO","Chocolate",,"Fixed",,"DEFAULT",,,
"Milk Chocolate Balls By Madelaine [Type=Golf Balls]",,"6.95","519-GO","519-GO","Chocolate",,"Fixed",,"DEFAULT",,,
"Anise Hard Candy",,"2.99","520-8841","520-8841","Candy/Hard Candy",,"Fixed",,"DEFAULT",,,
"Richardson Pastel Mints",,"2.99","521-791","521-791","Candy/Hard Candy",,"Fixed",,"DEFAULT",,,
"Assorted Gala Mix",,"2.99","522-8874","522-8874","Candy/Hard Candy",,"Fixed",,"DEFAULT",,,
"Assorted Starlights",,"2.99","523-6936","523-6936","Candy/Hard Candy",,"Fixed",,"DEFAULT",,,
"Good & Plenty",,"2.49","524-3994","524-3994","Candy/Licorice",,"Fixed",,"DEFAULT",,,
"Licorice Twists",,"1.99","525-5554","525-5554","Candy/Licorice",,"Fixed",,"DEFAULT",,,
"Strawberry Twists",,"1.99","526-8870","526-8870","Candy/Licorice",,"Fixed",,"DEFAULT",,,
"Gustaf's Imported Wine Gums",,"3.49","527-5197","527-5197","Candy/Gummy",,"Fixed",,"DEFAULT",,,
"Mini Licorice Allsorts",,"3.49","528-6636","528-6636","Candy/Licorice",,"Fixed",,"DEFAULT",,,
"Imported Finnska Strawberry",,"3.49","529-7073","529-7073","Candy/Licorice",,"Fixed",,"DEFAULT",,,
"Imported Licorice Zout",,"3.49","530-4391","530-4391","Candy/Licorice",,"Fixed",,"DEFAULT",,,
"Cherry Bites",,"2.99","531-7132","531-7132","Candy/Licorice",,"Fixed",,"DEFAULT",,,
"Licorice Dusted Fish",,"2.99","532-7899","532-7899","Candy/Licorice",,"Fixed",,"DEFAULT",,,
"Licorice Allsorts",,"3.49","533-3869","533-3869","Candy/Licorice",,"Fixed",,"DEFAULT",,,
"Imported Finnska Licorice",,"3.49","534-8045","534-8045","Candy/Licorice",,"Fixed",,"DEFAULT",,,
"Licorice Laces",,"2.25","535-5482","535-5482","Candy/Licorice",,"Fixed",,"DEFAULT",,,
"Strawberry Laces",,"2.25","536-3893","536-3893","Candy/Gummy",,"Fixed",,"DEFAULT",,,
"Grape Laces",,"2.25","537-5307","537-5307","Candy/Gummy",,"Fixed",,"DEFAULT",,,
"Jelly Babies",,"3.49","538-59","538-59","Candy/Gummy",,"Fixed",,"DEFAULT",,,
"Imported Licorice Caramels",,"5.95","539-6739","539-6739","Candy/Licorice",,"Fixed",,"DEFAULT",,,
"Imported Strawberry Wheels",,"2.69","540-4840","540-4840","Candy/Gummy;Candy/Licorice",,"Fixed",,"DEFAULT",,,
"Imported Licorice Wheels",,"2.69","541-6571","541-6571","Candy/Licorice",,"Fixed",,"DEFAULT",,,
"Sweet Hard Licorice",,"2.99","542-1944","542-1944","Candy/Licorice",,"Fixed",,"DEFAULT",,,
"Licorice Pastels",,"3.99","543-4373","543-4373","Candy/Licorice",,"Fixed",,"DEFAULT",,,
"Licorice Allsorts By Jelly Belly",,"3.99","544-4828","544-4828","Candy/Licorice",,"Fixed",,"DEFAULT",,,
"Double Salt Licorice",,"3.49","545-3473","545-3473","Candy/Licorice",,"Fixed",,"DEFAULT",,,
"Imported Money Licorice",,"3.49","546-1224","546-1224","Candy/Licorice",,"Fixed",,"DEFAULT",,,
"Imported Licorice Buttons",,"3.49","547-7369","547-7369","Candy/Licorice",,"Fixed",,"DEFAULT",,,
"Imported Licorice Ice",,"3.99","548-2305","548-2305","Candy/Licorice",,"Fixed",,"DEFAULT",,,
"Imported Licorice Soft Drops",,"3.49","549-4008","549-4008","Candy/Licorice",,"Fixed",,"DEFAULT",,,
"Chocolate Covered Molasses Puffs",,"4.95","550-7708","550-7708","Chocolate",,"Fixed",,"DEFAULT",,,
"Old Fashioned Molasses Puffs",,"3.99","551-837","551-837","Candy/Novelty",,"Fixed",,"DEFAULT",,,
"Nearegular Fruit Slices",,"2.99","552-5693","552-5693","Candy/Gummy",,"Fixed",,"DEFAULT",,,
